Titel,År,Sted,Tekst
I NATTENS TIME,1885,ukendt,Ja pust du kun du Nattevind
TORDEN,1887,Tastumgaard,Jeg sidder og stirrer paa Tordenskyen
I EN PRÆKENBOG TIL MINE FORÆLDRE,1887,Askov,Kjære Far og kjære Mor
HVAD GJØR DET,1887,Askov,Hvad gjør det at vi haanes
MEJERISTSANG,1888,Jebjærg,Jeg synger om en Stand
STRINDBERG,1888,Jebjærg,Du er en Samson i Litteraturen
BONDE-GYMNASTIK,1890,Jebjærg,Se Fædrelandet løfter sig frem
VI SAD ALENE,1890,Jebjærg,Vi sad alene i den stille Kvæld
ARBEJD,1890,ukendt,I Skaglen skal du drage
UNG,1890,ukendt,Han var endnu en skjægløs Gut
